Question No,Question,Option A,Option B,Option C,Option D,Correct Answer
30,A person travels 150 km at 60 km/h. How long does he take?,2.5 hours,3.5 hours,2 hours,1.5 hours,2.5 hours
31,The average age of three persons is 25 years. One of them aged 40 years is replaced by a person and the average becomes 26 years. What is the age of the new person?,43,40,39,45,43
32,"A mixture contains milk and water in the ratio 10:1. If 2 litres of milk are added to the mixture, what is the new ratio of milk to water?",12:1,11:1,10:2,9:1,12:1
33,"If the cost price of 20 identical items is equal to the selling price of 10 items, what is the profit percentage?",100%,90%,80%,110%,100%
34,A train running at 37 km/h crosses a pole in 24 seconds. What is the length of the train?,246.67 m,200.00 m,224.00 m,210.00 m,246.67 m
35,"Find the next number in the series: 2, 5, 10, 17, 26, ?",37,36,31,41,37
36,"The average of 17 numbers is 43. If two numbers 55 and 26 are removed, what is the new average?",40.18,42.18,39.18,41.18,40.18
37,Simple interest on Rs. 2500 at 7% per annum for 2 years is:,350,300,400,375.0,350
38,A man covers a distance at 39 km/h and returns at 72 km/h. Find his average speed for the whole journey.,51.14 km/h,49.50 km/h,45.00 km/h,53.00 km/h,51.14 km/h
39,"If 18 men can complete a work in 36 days, how many men are required to complete it in 12 days?",54,50,48,60,54
40,What is the HCF of 468 and 463 ?,1,3,2,31,1
41,What is the LCM of 33 and 7?,231,224,210,240,231
42,The price of an item changes from Rs. 125 by 11%. What is the percentage change?,11%,9%,13%,7%,11%
43,A can do a job in 23 days and B can do it in 25 days. How many days will they take together?,11.96 days,13.96 days,12.50 days,10.00 days,11.96 days
44,"If A:B = 3:5 and B:C = 2:7, what is A:C (as a decimal)?",0.43,0.86,1.05,2.00,0.43
45,Compound interest on Rs. 10000 at 5% per annum for 2 years (compounded annually) is:,1025,1000,1075,1100,1025
46,A person travels 150 km at 75 km/h. How long does he take?,2 hours,3 hours,1 hours,2.5 hours,2 hours
47,The average age of three persons is 24 years. One of them aged 41 years is replaced by a person and the average becomes 26 years. What is the age of the new person?,49,47,45,51,49
48,"A mixture contains milk and water in the ratio 1:9. If 2 litres of milk are added to the mixture, what is the new ratio of milk to water?",3:9,2:11,1:7,2:9,3:9
49,"If the cost price of 30 identical items is equal to the selling price of 16 items, what is the profit percentage?",87%,89%,75%,94%,87%
50,A train running at 70 km/h crosses a pole in 9 seconds. What is the length of the train?,175.00 m,140.00 m,160.00 m,200.00 m,175.00 m
51,"Find the next number in the series: 3, 8, 15, 24, 35, ?",48,46,42,52,48
52,"The average of 40 numbers is 39. If two numbers 51 and 31 are removed, what is the new average?",38.12,37.12,36.12,39.12,38.12
53,Simple interest on Rs. 7500 at 12% per annum for 3 years is:,2700,2550,3000,2850.0,2700
54,A man covers a distance at 75 km/h and returns at 33 km/h. Find his average speed for the whole journey.,46.15 km/h,40.00 km/h,50.00 km/h,45.00 km/h,46.15 km/h
55,"If 24 men can complete a work in 18 days, how many men are required to complete it in 6 days?",72,70,60,66,72
56,What is the HCF of 122 and 457 ?,1,2,3,11,1
57,What is the LCM of 9 and 14?,126,117,112,130,126
58,The price of an item changes from Rs. 482 by 30%. What is the percentage change?,30%,25%,32%,20%,30%
59,A can do a job in 14 days and B can do it in 5 days. How many days will they take together?,3.62 days,7.62 days,4.50 days,3.00 days,3.62 days
60,"If A:B = 9:4 and B:C = 8:5, what is A:C (as a decimal)?",3.60,4.00,2.80,3.20,3.60
61,Compound interest on Rs. 5000 at 7% per annum for 3 years (compounded annually) is:,1123,1050,1200,1300,1123
62,A person travels 120 km at 40 km/h. How long does he take?,3 hours,2 hours,4 hours,1.5 hours,3 hours
63,The average age of three persons is 27 years. One of them aged 33 years is replaced by a person and the average becomes 29 years. What is the age of the new person?,39,37,35,41,39
64,"A mixture contains milk and water in the ratio 6:7. If 6 litres of milk are added to the mixture, what is the new ratio of milk to water?",12:7,11:7,10:7,13:7,12:7
65,"If the cost price of 28 identical items is equal to the selling price of 6 items, what is the profit percentage?",366%,350%,322%,300%,366%
66,A train running at 76 km/h crosses a pole in 21 seconds. What is the length of the train?,444.44 m,399.00 m,420.00 m,360.00 m,444.44 m
67,"Find the next number in the series: 4, 9, 16, 25, 36, ?",49,50,46,60,49
68,"The average of 35 numbers is 33. If two numbers 28 and 44 are removed, what is the new average?",32.06,30.06,31.06,33.06,32.06
69,Simple interest on Rs. 4000 at 9% per annum for 4 years is:,1440,1200,1600,1500.0,1440
70,A man covers a distance at 36 km/h and returns at 48 km/h. Find his average speed for the whole journey.,42.35 km/h,40.00 km/h,44.00 km/h,41.00 km/h,42.35 km/h
71,"If 16 men can complete a work in 30 days, how many men are required to complete it in 10 days?",48,50,46,52,48
72,What is the HCF of 155 and 18 ?,1,3,5,2,1
73,What is the LCM of 21 and 8?,168,150,160,140,168
74,The price of an item changes from Rs. 323 by 47%. What is the percentage change?,47%,40%,50%,45%,47%
75,A can do a job in 18 days and B can do it in 7 days. How many days will they take together?,5.00 days,10.00 days,6.50 days,4.00 days,5.00 days
76,"If A:B = 4:9 and B:C = 6:5, what is A:C (as a decimal)?",0.53,0.44,1.20,0.67,0.53
77,Compound interest on Rs. 1000 at 8% per annum for 1 years (compounded annually) is:,80,75,90,85,80
78,A person travels 90 km at 45 km/h. How long does he take?,2 hours,1 hours,3 hours,2.5 hours,2 hours
79,The average age of three persons is 34 years. One of them aged 56 years is replaced by a person and the average becomes 36 years. What is the age of the new person?,62,59,60,64,62
80,"A mixture contains milk and water in the ratio 4:4. If 1 litres of milk are added to the mixture, what is the new ratio of milk to water?",5:4,4:5,6:4,5:3,5:4
81,"If the cost price of 26 identical items is equal to the selling price of 12 items, what is the profit percentage?",116%,102%,120%,110%,116%
82,A train running at 48 km/h crosses a pole in 26 seconds. What is the length of the train?,346.67 m,300.00 m,320.00 m,280.00 m,346.67 m
83,"Find the next number in the series: 5, 10, 17, 26, 37, ?",50,48,46,52,50
84,"The average of 48 numbers is 47. If two numbers 60 and 30 are removed, what is the new average?",46.92,45.92,44.92,43.92,46.92
85,Simple interest on Rs. 2000 at 9% per annum for 5 years is:,900,800,1000,950.0,900
86,A man covers a distance at 66 km/h and returns at 26 km/h. Find his average speed for the whole journey.,36.52 km/h,40.00 km/h,35.00 km/h,38.00 km/h,36.52 km/h
87,"If 14 men can complete a work in 28 days, how many men are required to complete it in 7 days?",56,54,50,60,56
88,What is the HCF of 356 and 71 ?,1,2,3,5,1
89,What is the LCM of 12 and 25?,300,275,250,260,300
90,The price of an item changes from Rs. 395 by 34%. What is the percentage change?,34%,30%,36%,32%,34%
91,A can do a job in 6 days and B can do it in 5 days. How many days will they take together?,2.86 days,4.86 days,3.50 days,2.00 days,2.86 days
92,"If A:B = 2:9 and B:C = 7:3, what is A:C (as a decimal)?",0.52,0.22,1.05,0.67,0.52
93,Compound interest on Rs. 2000 at 7% per annum for 2 years (compounded annually) is:,294,280,300,320,294
94,A person travels 75 km at 50 km/h. How long does he take?,1.5 hours,2 hours,1 hours,2.5 hours,1.5 hours
95,The average age of three persons is 39 years. One of them aged 47 years is replaced by a person and the average becomes 40 years. What is the age of the new person?,50,49,48,52,50
96,"A mixture contains milk and water in the ratio 10:9. If 10 litres of milk are added to the mixture, what is the new ratio of milk to water?",20:9,19:9,18:9,21:9,20:9
97,"If the cost price of 30 identical items is equal to the selling price of 13 items, what is the profit percentage?",130%,140%,125%,120%,130%
98,A train running at 63 km/h crosses a pole in 16 seconds. What is the length of the train?,280.00 m,252.00 m,300.00 m,260.00 m,280.00 m
99,"Find the next number in the series: 6, 11, 18, 27, 38, ?",61,58,50,49,61
100,"The average of 23 numbers is 31. If two numbers 46 and 20 are removed, what is the new average?",30.04,28.04,29.04,31.04,30.04
101,Simple interest on Rs. 10000 at 12% per annum for 3 years is:,3600,3500,3800,3400.0,3600
102,A man covers a distance at 60 km/h and returns at 40 km/h. Find his average speed for the whole journey.,48.00 km/h,50.00 km/h,46.00 km/h,52.00 km/h,48.00 km/h
103,"If 15 men can complete a work in 18 days, how many men are required to complete it in 6 days?",45,42,40,48,45
104,What is the HCF of 269 and 56 ?,1,2,4,7,1
105,What is the LCM of 17 and 6?,102,100,96,110,102
106,The price of an item changes from Rs. 418 by 48%. What is the percentage change?,48%,40%,50%,45%,48%
107,A can do a job in 9 days and B can do it in 11 days. How many days will they take together?,5.14 days,7.14 days,6.50 days,4.50 days,5.14 days
108,"If A:B = 7:4 and B:C = 9:5, what is A:C (as a decimal)?",3.94,4.00,2.80,3.20,3.94
109,Compound interest on Rs. 3000 at 5% per annum for 3 years (compounded annually) is:,472,450,500,520,472
110,A person travels 90 km at 30 km/h. How long does he take?,3 hours,2 hours,4 hours,1.5 hours,3 hours
111,The average age of three persons is 28 years. One of them aged 45 years is replaced by a person and the average becomes 30 years. What is the age of the new person?,52,50,49,54,52
112,"A mixture contains milk and water in the ratio 8:9. If 8 litres of milk are added to the mixture, what is the new ratio of milk to water?",16:9,15:9,14:9,17:9,16:9
113,"If the cost price of 18 identical items is equal to the selling price of 8 items, what is the profit percentage?",125%,130%,120%,110%,125%
114,A train running at 51 km/h crosses a pole in 29 seconds. What is the length of the train?,410.83 m,360.00 m,390.00 m,320.00 m,410.83 m
115,"Find the next number in the series: 8, 15, 24, 35, 48, ?",... (truncated for brevity),,,,... (truncated for brevity)
116,A sum of Rs. 2000 is lent at simple interest of 10% per annum. What will be the interest after 3 years?,Rs. 500,Rs. 600,Rs. 700,Rs. 800,Rs. 600
117,"If a train travels 120 km in 2 hours, what is its average speed?",40 km/h,50 km/h,60 km/h,70 km/h,60 km/h
118,The average of 5 consecutive numbers is 27. What is the largest of these numbers?,29,30,31,32,29
119,"If 12 men can complete a work in 18 days, how many men are required to complete the same work in 9 days?",12,18,20,24,24
120,The perimeter of a square is 48 cm. Find its area.,144 sq.cm,132 sq.cm,121 sq.cm,169 sq.cm,144 sq.cm
121,A shopkeeper bought an article for Rs. 500 and sold it at a profit of 20%. What is the selling price?,Rs. 580,Rs. 600,Rs. 620,Rs. 650,Rs. 600
122,What is the compound interest on Rs. 1000 at 10% per annum for 2 years compounded annually?,Rs. 200,Rs. 210,Rs. 220,Rs. 230,Rs. 210
123,"The ratio of the ages of A and B is 3:4. If A is 24 years old, what is the age of B?",30 years,32 years,34 years,36 years,32 years
124,"If a man walks at 6 km/h, he reaches office 10 minutes early, but if he walks at 4 km/h, he is 10 minutes late. What is the distance to his office?",4 km,5 km,6 km,7 km,5 km
125,A sum of Rs. 5000 amounts to Rs. 6000 in 2 years at simple interest. Find the rate of interest per annum.,8%,9%,10%,12%,10%
126,"A shopkeeper sells an article at 20% loss. If he had sold it for Rs. 240 more, he would have gained 10%. Find the cost price of the article.",Rs. 600,Rs. 720,Rs. 800,Rs. 840,Rs. 800
127,"If the diameter of a circle is 14 cm, what is its area? (Use π = 22/7)",132 sq.cm,144 sq.cm,154 sq.cm,160 sq.cm,154 sq.cm
128,A boat can travel 15 km downstream in 30 minutes. The speed of the stream is 10 km/h. Find the speed of the boat in still water.,15 km/h,20 km/h,25 km/h,30 km/h,20 km/h
129,"If 40% of a number is 80, what is 25% of that number?",40,50,60,70,50
130,A can do a piece of work in 10 days and B can do it in 15 days. They work together for 5 days. How much work is left?,1/4,1/3,2/5,1/2,1/3
131,"The average marks of 50 students in a class is 72. If the average of 30 students is 70, find the average of the remaining 20 students.",72,74,76,78,74
132,The difference between simple and compound interest on Rs. 5000 for 2 years at 5% per annum is:,Rs. 10,Rs. 12.50,Rs. 15,Rs. 20,Rs. 12.50
133,A sum of money doubles itself in 10 years at simple interest. What is the rate of interest per annum?,5%,8%,10%,12%,10%
134,The cost price of 20 articles is equal to the selling price of 16 articles. Find the gain percent.,20%,25%,30%,40%,25%
135,A train 120 m long crosses a platform 180 m long in 30 seconds. Find the speed of the train in km/h.,36,48,60,72,36
136,"The compound interest on Rs. 10,000 at 10% per annum for 2 years, compounded annually, is:",Rs. 2000,Rs. 2100,Rs. 2200,Rs. 2300,Rs. 2100
137,"If 15 men can build a wall in 20 days, how many men are required to build the same wall in 10 days?",20,25,30,35,30
138,"The perimeter of a rectangle is 60 cm. If its length is 20 cm, find its breadth.",8 cm,10 cm,12 cm,14 cm,10 cm
139,A man bought a watch for Rs. 1440 and sold it at a loss of 12.5%. Find the selling price.,Rs. 1260,Rs. 1270,Rs. 1280,Rs. 1290,Rs. 1260
,,,,,,
164,"A can do a work in 8 days, B in 10 days, and C in 12 days. All work together for 2 days. Then A leaves. Find the total time taken to finish the work.",4 days,5 days,6 days,7 days,5 days
165,"A sum of Rs. 12,000 amounts to Rs. 15,600 in 3 years at simple interest. Find the rate of interest.",8%,9%,10%,12%,10%
166,The difference between compound and simple interest on Rs. 5000 at 4% per annum for 2 years is:,Rs. 4,Rs. 6,Rs. 8,Rs. 10,Rs. 4
167,"The ratio of the present ages of A and B is 5:7. After 6 years, the ratio will become 3:4. Find their present ages.",15 and 21,20 and 28,25 and 35,30 and 42,20 and 28
168,"If the radius of a circle is increased by 20%, find the percentage increase in its area.",36%,40%,44%,46%,44%
169,The sum of the first 20 natural numbers is:,190,200,210,220,210
170,A train 120 m long passes a platform 180 m long in 30 seconds. Find the speed of the train.,30 km/hr,36 km/hr,48 km/hr,60 km/hr,36 km/hr
171,"The LCM of two numbers is 480 and their HCF is 24. If one number is 48, find the other.",240,220,200,180,240
172,"A train running at 60 km/hr crosses another train of half its length running in opposite direction at 90 km/hr in 36 seconds. If the length of the smaller train is 600 m, find the length of the longer train.",900 m,1000 m,1100 m,1200 m,900 m
173,"The average age of 30 students is 15 years. If the teacher’s age is added, the average becomes 16 years. Find the teacher’s age.",45,46,47,48,46
174,"The average of 40 numbers is 38. The average of the first 20 numbers is 36, and the average of the next 19 numbers is 39. Find the 40th number.",60,62,64,66,66
175,"If 5 men or 8 women can complete a work in 24 days, then 10 men and 5 women together can complete the work in:",8 days,10 days,12 days,14 days,10 days
176,The difference between a two-digit number and the number obtained by interchanging its digits is 36. Find the difference between the two digits.,3,4,5,6,4
177,A sum of Rs. 2400 amounts to Rs. 3000 in 5 years at simple interest. Find the rate of interest per annum.,4%,5%,6%,7%,5%
178,"A trader marked an article at Rs. 720 and allowed a discount of 10%. Still, he gained 20%. The cost price of the article is:",Rs. 500,Rs. 520,Rs. 540,Rs. 560,Rs. 540
179,"The average of 11 numbers is 10. If the average of the first six numbers is 8 and that of the last six is 12, then the sixth number is:",8,10,12,14,12
180,A train moves at a speed of 80 km/hr. It crosses a bridge 500 m long in 45 seconds. Find the length of the train.,400 m,500 m,600 m,700 m,500 m
181,"The ratio of the present ages of A and B is 7:5. After 6 years, the ratio will become 9:7. Find their present ages.",21 and 15,28 and 20,35 and 25,42 and 30,35 and 25
182,"The average weight of 50 boys is 45 kg. If the teacher’s weight is included, the average rises by 500 g. Find the teacher’s weight.",67 kg,67.5 kg,68 kg,68.5 kg,67.5 kg
183,The compound interest on Rs. 4000 at 10% per annum for 2 years is:,Rs. 800,Rs. 820,Rs. 840,Rs. 860,Rs. 820
184,A train passes a man standing on the platform in 10 seconds and a platform 300 m long in 25 seconds. Find the length of the train.,120 m,150 m,180 m,200 m,150 m
185,A man buys 50 pens for Rs. 500. He sells 30 pens at 20% profit. At what profit percent should he sell the remaining pens to gain 25% overall?,20%,25%,30%,40%,30%
186,The simple interest on Rs. 8000 at 12% per annum for 2 years is:,Rs. 1600,Rs. 1800,Rs. 1920,Rs. 2000,Rs. 1920
187,"The LCM of two numbers is 240 and their HCF is 12. If one number is 48, find the other.",50,55,60,65,60
188,"If the cost price is 80% of the selling price, the profit percentage is:",20%,25%,30%,35%,25%
189,"A sum of Rs. 12,000 is invested at 10% per annum simple interest. After how many years will it amount to Rs. 18,000?",4,5,6,7,5
190,The difference between compound interest and simple interest on Rs. 2500 at 4% per annum for 2 years is:,Rs. 3,Rs. 4,Rs. 5,Rs. 6,Rs. 4
191,"The average of 25 results is 18. If the average of the first 12 results is 14 and that of the last 12 results is 20, then the 13th result is:",48,50,52,54,50
192,"The average age of a family of 5 members is 21 years. If the age of the youngest member is 5 years, what was the average age of the family at the time of his birth?",15,16,17,18,16
193,A train of length 120 m crosses a pole in 12 seconds. Find the speed of the train.,30 km/hr,36 km/hr,40 km/hr,45 km/hr,36 km/hr
194,A sum of money doubles in 5 years at simple interest. Find the rate of interest.,10%,15%,20%,25%,20%
195,"The average marks of 30 students in a class is 45. If the marks of 10 students are increased from 30 to 40 each, the new average marks is:",47,48,49,50,48
196,A man covers a distance of 20 km at 4 km/hr and the next 20 km at 5 km/hr. Find his average speed for the whole journey.,4.44 km/hr,4.5 km/hr,4.55 km/hr,4.6 km/hr,4.44 km/hr
197,"The cost price of an article is Rs. 240. If it is sold at a profit of 12.5%, find the selling price.",Rs. 260,Rs. 265,Rs. 270,Rs. 275,Rs. 270
198,"The average of 5 numbers is 27. If the average of the first four numbers is 25, find the fifth number.",30,31,32,33,33
199,The sum of the first 50 natural numbers is:,1225,1250,1275,1300,1275
200,A trader sells an article at Rs. 126 at a loss of 10%. What is the cost price?,Rs. 135,Rs. 138,Rs. 140,Rs. 142,Rs. 140
,,,,,,
212,A train crosses a platform 180 m long in 27 seconds and a man standing on the platform in 9 seconds. Find the length of the train.,120 m,135 m,150 m,180 m,135 m
213,"If the selling price of 16 articles is equal to the cost price of 20 articles, the gain percent is:",20%,22%,24%,25%,25%
214,"The average of 11 results is 50. If the average of the first 6 results is 49 and that of the last 6 results is 52, then the 6th result is:",56,57,58,59,57
215,A sum of Rs. 5000 becomes Rs. 5800 in 2 years at simple interest. Find the rate of interest.,6%,7%,8%,9%,8%
216,The compound interest on Rs. 2000 for 2 years at 10% per annum compounded annually is:,Rs. 400,Rs. 410,Rs. 420,Rs. 440,Rs. 420
217,The difference between the simple interest and compound interest on Rs. 1200 for 2 years at 10% per annum is:,Rs. 10,Rs. 12,Rs. 15,Rs. 20,Rs. 12
218,"A can complete a work in 12 days and B in 15 days. They work together for 5 days, then A leaves. In how many days will B finish the remaining work?",5,6,7,8,6
219,"The average of 50 numbers is 38. If two numbers, 45 and 55, are discarded, the average of the remaining numbers is:",37.5,37.8,38.2,38.5,37.8
220,"The LCM of two numbers is 180 and their HCF is 6. If one number is 18, the other is:",50,55,60,65,60
221,Which data structure follows the Last In First Out (LIFO) principle?,Queue,Stack,Linked List,Tree,
222,Which data structure follows the First In First Out (FIFO) principle?,Queue,Stack,Graph,Heap,
223,What is the time complexity of push and pop operations in a stack implemented using an array?,O(n),O(1),O(log n),O(n log n),
224,Which operation is not possible in a queue?,Insertion at rear,Deletion at front,Traversal,Insertion at front,
225,Which of the following is an application of a stack?,Job scheduling,Expression evaluation,Round-robin CPU scheduling,Breadth-first search,
226,Which of the following is an application of a queue?,Function calls,Undo mechanism,Printer spooling,Expression conversion,
227,"In a circular queue of size n, how many elements can be stored?",n-1,n,n+1,2n,
228,Which of the following is true for linked lists?,Random access is possible,Memory is allocated contiguously,Insertion and deletion are easier than arrays,Size is fixed,
229,Which traversal of a binary tree gives nodes in sorted order?,Preorder,Postorder,Inorder,Level order,
230,What is the maximum number of nodes in a binary tree of height h?,2^h - 1,2^h,h^2,h!,
231,Which of the following data structures is non-linear?,Stack,Queue,Tree,Array,
232,Which data structure is used for implementing recursion?,Queue,Array,Stack,Graph,
233,Which traversal technique is used in Breadth-First Search (BFS) of a graph?,Stack,Queue,Recursion,Priority Queue,
234,Which of the following is a divide-and-conquer algorithm?,Merge Sort,Selection Sort,Bubble Sort,Insertion Sort,
235,Which sorting algorithm has the best average-case time complexity?,Quick Sort,Merge Sort,Bubble Sort,Selection Sort,
236,Which of the following data structures is best for implementing a priority queue?,Stack,Heap,Linked List,Array,
237,What is the worst-case time complexity of Quick Sort?,O(n),O(n log n),O(n^2),O(log n),
238,Which of the following operations is not possible in O(1) time in a stack?,Push,Pop,Find minimum element,Peek,
239,Which of the following is a linear data structure?,Graph,Tree,Array,Heap,
240,What is the auxiliary space complexity of Merge Sort?,O(1),O(log n),O(n),O(n log n),
241,Which algorithm is used for finding the shortest path in a weighted graph?,DFS,Dijkstra’s Algorithm,Prim’s Algorithm,Kruskal’s Algorithm,
242,Which traversal technique visits nodes level by level in a binary tree?,Preorder,Postorder,Inorder,Level Order,
243,Which of the following is used to detect cycles in a graph?,Stack,Queue,Union-Find,Heap,
244,Which of the following algorithms is used for minimum spanning tree?,Dijkstra’s Algorithm,Kruskal’s Algorithm,Bellman-Ford Algorithm,Floyd-Warshall Algorithm,
245,Which of the following is true about a binary search tree (BST)?,All left children are smaller and right children are larger,All left children are larger,All nodes have exactly 2 children,No duplicate values are allowed,
246,What is the time complexity of searching an element in a balanced binary search tree?,O(n),O(log n),O(1),O(n log n),
247,Which data structure is used in Depth-First Search (DFS)?,Queue,Stack,Heap,Priority Queue,
248,Which hashing technique resolves collisions by using linked lists?,Open addressing,Chaining,Double hashing,Rehashing,
249,Which tree is used for indexing in databases?,Binary Tree,AVL Tree,B-Tree,Heap,
250,Which of the following ensures that a binary tree is height-balanced?,Red-Black Tree,AVL Tree,B-Tree,Heap,
251,Which traversal of a binary tree is used to get prefix expression from an expression tree?,Inorder,Preorder,Postorder,Level order,
252,Which traversal of a binary tree is used to get postfix expression from an expression tree?,Inorder,Preorder,Postorder,Level order,
253,What is the maximum number of children a binary tree node can have?,1,2,3,Any number,
254,Which data structure is used to evaluate arithmetic expressions with parentheses?,Queue,Stack,Heap,Graph,
255,Which of the following trees is a complete binary tree?,All levels are completely filled except possibly the last,Every node has two children,All leaves are at the same level,Tree has no duplicate nodes,
256,Which data structure uses hashing for fast search?,Stack,Queue,Hash Table,Heap,
257,What is the time complexity of inserting an element in a max-heap?,O(1),O(log n),O(n),O(n log n),
258,Which of the following is NOT a balanced binary tree?,AVL Tree,Red-Black Tree,Heap,Binary Search Tree,
259,Which graph traversal algorithm can be implemented using recursion?,Breadth-First Search,Depth-First Search,Dijkstra’s Algorithm,Prim’s Algorithm,
260,Which data structure is used in the implementation of LRU (Least Recently Used) cache?,Stack and Queue,Queue and Hashing,HashMap and Doubly Linked List,Array and Heap,
261,What is the time complexity of accessing an element in a hash table (average case)?,O(1),O(log n),O(n),O(n log n),
262,Which of the following algorithms is used for detecting negative weight cycles in a graph?,Dijkstra’s Algorithm,Floyd-Warshall Algorithm,Bellman-Ford Algorithm,Prim’s Algorithm,
263,Which data structure is most suitable for implementing undo operations in a text editor?,Queue,Stack,Linked List,Hash Table,
264,Which operation has O(1) time complexity in a singly linked list?,Accessing the middle element,Deleting the last element,Inserting at the head,Searching for an element,
265,Which traversal of a binary tree is used to reconstruct the tree if both inorder and preorder traversals are known?,Inorder only,Preorder only,Inorder and Postorder,Inorder and Preorder,
266,Which tree rotation is required when a node is inserted into the left subtree of the left child in an AVL tree?,Right rotation,Left rotation,Left-Right rotation,Right-Left rotation,
267,Which tree rotation is required when a node is inserted into the right subtree of the right child in an AVL tree?,Right rotation,Left rotation,Left-Right rotation,Right-Left rotation,
268,Which of the following is a non-primitive data structure?,Integer,Character,Stack,Float,
269,Which algorithm is used for topological sorting of a Directed Acyclic Graph (DAG)?,DFS,BFS,Dijkstra’s Algorithm,Kruskal’s Algorithm,
270,Which data structure is used in Prim’s Algorithm?,Queue,Stack,Priority Queue,Hash Table,
271,Which data structure is used for implementing function calls in programming languages?,Queue,Stack,Heap,Graph,
272,Which traversal technique is used to implement Depth-First Search (DFS) in a graph?,Queue,Stack,Priority Queue,Heap,
273,Which sorting algorithm is stable?,Quick Sort,Merge Sort,Heap Sort,Selection Sort,
274,Which sorting algorithm is NOT based on comparison?,Merge Sort,Quick Sort,Heap Sort,Counting Sort,
275,Which traversal technique is used in backtracking algorithms like N-Queens?,Breadth-First Search,Depth-First Search,Level Order Traversal,Postorder Traversal,
276,Which algorithm is used to find strongly connected components in a graph?,Dijkstra’s Algorithm,Kosaraju’s Algorithm,Prim’s Algorithm,Kruskal’s Algorithm,
277,Which of the following uses a binary heap?,Dijkstra’s Algorithm,DFS,BFS,Bellman-Ford Algorithm,
278,Which of the following searching algorithms has O(log n) time complexity?,Linear Search,Binary Search,Jump Search,Interpolation Search,
279,Which of the following can be used to implement a graph?,Adjacency Matrix,Adjacency List,Both,None,
280,Which of the following statements is true about B-Trees?,They are binary trees,They store data only in leaves,They are used in databases and file systems,They are always height 1,
281,Which traversal of a BST results in elements in ascending order?,Preorder,Postorder,Inorder,Level Order,
282,Which hashing technique reuses the same hash function with a new attempt in case of collision?,Chaining,Open Addressing,Rehashing,Double Hashing,
283,Which of the following is NOT a self-balancing binary search tree?,AVL Tree,Red-Black Tree,Splay Tree,Binary Heap,
284,Which algorithm is used for shortest path in graphs with negative edges but no negative cycles?,Dijkstra’s Algorithm,Bellman-Ford Algorithm,Prim’s Algorithm,Kruskal’s Algorithm,
